
OptiFine_1.2.5_HD_C6
Wed Nov 01 02:21:59 GMT 2023
OS: Windows 10 (amd64) version 10.0
Java: 1.8.0_391, Oracle Corporation
VM: Java HotSpot(TM) 64-Bit Server VM (mixed mode), Oracle Corporation
LWJGL: 2.9.4
OpenGL: NVIDIA GeForce RTX 3060/PCIe/SSE2 version 4.6.0 NVIDIA 546.01, NVIDIA Corporation
OpenGL Version: 4.0
Loading /font/default.properties
Loading /font/alternate.properties
TextureFX registered: buildcraft.energy.TextureOilFX@5ec6531a, texId: 84, index: 205
TextureFX registered: TextureHDLavaFlowFX@173bdbc2, texId: 87, index: 238
TextureFX removed: nh@2a3ed82a, texId: 87, index: 31
TextureFX registered: TextureHDFlamesFX@637078dd, texId: 87, index: 31
TextureFX removed: nh@56eb7b02, texId: 87, index: 47
TextureFX registered: TextureHDFlamesFX@27b62bc2, texId: 87, index: 47
TextureFX removed: tu@9a2356c, texId: 231, index: 54
TextureFX registered: TextureHDCompassFX@50a313a2, texId: 231, index: 54
TextureFX removed: ht@4ca9e720, texId: 231, index: 70
TextureFX registered: TextureHDWatchFX@5504fda8, texId: 231, index: 70
Loading custom colors: /misc/grasscolor.png
Loading custom colors: /misc/foliagecolor.png
TextureFX registered: Portal_TextureAnimation@508c4cff, texId: 52, index: 5
TextureFX registered: thaumcraft.FXAnimatedTexture@8b1657b, texId: 61, index: 252
TextureFX registered: thaumcraft.FXAnimatedTexture@7155f734, texId: 61, index: 253
TextureFX registered: thaumcraft.FXAnimatedTexture@62bd357e, texId: 61, index: 254
TextureFX registered: thaumcraft.arcana.TextureVoidCompassFX@50647662, texId: 62, index: 61
TextureFX registered: eloraam.core.TextureAnimFX@537d4ba8, texId: 230, index: 239
TextureFX registered: eloraam.core.TextureAnimFX@dcffaa4, texId: 230, index: 255
TextureFX registered: ModTextureStatic /gui/items.png @ 102, texId: 231, index: 102
