
OptiFine_1.4.6_HD_U_D5
Fri Mar 21 18:02:27 GMT 2025
OS: Windows 11 (amd64) version 10.0
Java: 1.8.0_441, Oracle Corporation
VM: Java HotSpot(TM) 64-Bit Server VM (mixed mode), Oracle Corporation
LWJGL: 2.9.4
OpenGL: NVIDIA GeForce RTX 3060/PCIe/SSE2 version 4.6.0 NVIDIA 572.70, NVIDIA Corporation
OpenGL Version: 4.0
(Reflector) Class not present: LightCache
(Reflector) Class not present: BlockCoord
TextureFX registered: ic2.core.TextureLiquidFX@759404a0, texId: 11, index: 202
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@7a3d4671, texId: 40, index: 12
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@4d5735e7, texId: 40, index: 13
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@34b635af, texId: 40, index: 14
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@4c50a920, texId: 40, index: 15
TextureFX registered: thermalexpansion.core.render.TextureEnderFX@94baffe, texId: 40, index: 64
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@37b9c5a9, texId: 314, index: 16
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@329c6573, texId: 314, index: 17
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@1d7b50f5, texId: 314, index: 18
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@1587ea3, texId: 314, index: 19
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@7f98abc6, texId: 314, index: 20
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@2efeeebb, texId: 314, index: 21
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@6945ff69, texId: 314, index: 22
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@2b2a2984, texId: 314, index: 23
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@115671bc, texId: 314, index: 24
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@46e6397d, texId: 314, index: 0
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@4a6fb34e, texId: 314, index: 1
TextureFX registered: binnie.extrabees.platform.TextureExtraBeeLiquidsFX@56b18d18, texId: 314, index: 2
TextureFX registered: binnie.extrabees.platform.TextureLiquidDNAFX@560284e2, texId: 314, index: 255
TextureFX registered: forestry.core.render.TextureBiomassFX@4b88af4b, texId: 445, index: 13
TextureFX registered: forestry.core.render.TextureBiofuelFX@6d3d9de9, texId: 445, index: 12
TextureFX registered: forestry.core.render.TextureMilkFX@4f8bbd50, texId: 445, index: 15
TextureFX registered: forestry.core.render.TextureHoneyFX@5b67731c, texId: 445, index: 76
TextureFX registered: forestry.core.render.TextureSeedOilFX@7cf7bfcc, texId: 445, index: 74
TextureFX registered: forestry.core.render.TextureJuiceFX@2ff146d5, texId: 445, index: 75
TextureFX registered: forestry.core.render.TextureMeadFX@1fc299e0, texId: 445, index: 77
TextureFX registered: forestry.core.render.TextureGlassFX@22cdc6f6, texId: 445, index: 49
TextureFX registered: forestry.core.render.TextureIceFX@66ae853f, texId: 445, index: 73
TextureFX registered: forestry.core.render.TextureHabitatLocatorFX@43207521, texId: 117, index: 105
TextureFX registered: immibis.lxp.LiquidTextureFX@386ec786, texId: 463, index: 0
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 59, texId: 197, index: 59
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 60, texId: 197, index: 60
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 61, texId: 197, index: 61
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 62, texId: 197, index: 62
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 63, texId: 197, index: 63
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 64, texId: 197, index: 64
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 65, texId: 197, index: 65
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 66, texId: 197, index: 66
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 67, texId: 197, index: 67
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 68, texId: 197, index: 68
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 69, texId: 197, index: 69
TextureFX registered: buildcraft.core.render.TextureLiquidsFX@4a16734d, texId: 137, index: 0
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 70, texId: 197, index: 70
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 71, texId: 197, index: 71
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 72, texId: 197, index: 72
TextureFX registered: ro.narc.liquiduu.TextureFXElectrolyzed@e6d9d9a, texId: 137, index: 2
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 73, texId: 197, index: 73
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 74, texId: 197, index: 74
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 75, texId: 197, index: 75
TextureFX registered: ModTextureAnimation@5793f2a7, texId: 238, index: 34
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 76, texId: 197, index: 76
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 77, texId: 197, index: 77
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 78, texId: 197, index: 78
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 79, texId: 197, index: 79
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 80, texId: 197, index: 80
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 81, texId: 197, index: 81
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 82, texId: 197, index: 82
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 83, texId: 197, index: 83
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 84, texId: 197, index: 84
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 85, texId: 197, index: 85
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 86, texId: 197, index: 86
TextureFX registered: ModTextureAnimation@7629a133, texId: 237, index: 46
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 87, texId: 197, index: 87
TextureFX registered: ModTextureAnimation@4fdb18fc, texId: 236, index: 48
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 88, texId: 197, index: 88
TextureFX registered: ModTextureAnimation@57e04319, texId: 236, index: 49
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 89, texId: 197, index: 89
TextureFX registered: ModTextureAnimation@370291de, texId: 236, index: 50
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 90, texId: 197, index: 90
TextureFX registered: ModTextureAnimation@26281166, texId: 236, index: 51
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 91, texId: 197, index: 91
TextureFX registered: ModTextureAnimation@99b7912, texId: 236, index: 52
TextureFX registered: ModTextureAnimation@5b5ac535, texId: 238, index: 50
TextureFX registered: portalgun.client.render.TextureAnimation@5b432c6b, texId: 283, index: 5
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 92, texId: 197, index: 92
TextureFX registered: ModTextureAnimation@374014e4, texId: 236, index: 53
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 93, texId: 197, index: 93
TextureFX registered: ModTextureAnimation@6f634bd2, texId: 236, index: 54
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 94, texId: 197, index: 94
TextureFX registered: ModTextureAnimation@30eebdf2, texId: 236, index: 55
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 95, texId: 197, index: 95
TextureFX registered: ModTextureAnimation@418f3f48, texId: 236, index: 56
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 96, texId: 197, index: 96
TextureFX registered: ModTextureAnimation@2de0280f, texId: 236, index: 57
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 97, texId: 197, index: 97
TextureFX registered: ModTextureAnimation@bdcf773, texId: 236, index: 58
TextureFX registered: com.xcompwiz.mystcraft.client.texturefx.TextureLiquidFX@543f80ec, texId: 279, index: 15
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 98, texId: 197, index: 98
TextureFX registered: ModTextureAnimation@5d81f0df, texId: 236, index: 59
TextureFX registered: com.xcompwiz.mystcraft.client.texturefx.TexturePortalFX@43ca4626, texId: 280, index: 15
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 99, texId: 197, index: 99
TextureFX registered: ModTextureAnimation@45e541e8, texId: 236, index: 60
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 100, texId: 197, index: 100
TextureFX registered: ModTextureAnimation@22936c69, texId: 236, index: 61
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 101, texId: 197, index: 101
TextureFX registered: ModTextureAnimation@30300519, texId: 236, index: 62
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 102, texId: 197, index: 102
TextureFX registered: ModTextureAnimation@17b1476a, texId: 236, index: 63
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 103, texId: 197, index: 103
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 104, texId: 197, index: 104
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 105, texId: 197, index: 105
TextureFX registered: dan200.computer.client.TextureComputerFX@27c3c867, texId: 26, index: 20
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 106, texId: 197, index: 106
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 107, texId: 197, index: 107
TextureFX registered: ModTextureAnimation@494f4264, texId: 238, index: 66
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 108, texId: 197, index: 108
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 109, texId: 197, index: 109
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 110, texId: 197, index: 110
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 111, texId: 197, index: 111
TextureFX registered: dan200.computer.client.TextureComputerFX@4b05650f, texId: 26, index: 25
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 112, texId: 197, index: 112
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 113, texId: 197, index: 113
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 114, texId: 197, index: 114
TextureFX registered: thaumcraft.client.fx.FXAnimatedPotion@26b34a39, texId: 139, index: 177
TextureFX registered: ModTextureAnimation@c3d0930, texId: 238, index: 82
TextureFX registered: twilightforest.client.TextureTFMagicLeavesFX@db3bde, texId: 248, index: 88
TextureFX registered: ModTextureAnimation@51ffcc13, texId: 239, index: 98
TextureFX registered: ModTextureAnimation@93bd90, texId: 239, index: 99
TextureFX registered: ModTextureAnimation@20ccbb73, texId: 239, index: 100
TextureFX registered: ModTextureAnimation@9f81fbe, texId: 239, index: 101
TextureFX registered: twilightforest.client.TextureTFMagicLeavesFX@26c8d5c6, texId: 248, index: 92
TextureFX registered: twilightforest.client.TextureTFMagicLeavesFX@3ca42887, texId: 248, index: 94
TextureFX registered: thaumcraft.client.fx.FXAnimatedTexture@291ecee4, texId: 139, index: 210
TextureFX registered: ModTextureAnimation@6d31fa83, texId: 238, index: 114
TextureFX registered: thaumcraft.client.fx.FXAnimatedTexture@73dba90a, texId: 138, index: 15
TextureFX registered: thaumcraft.client.fx.FXAnimatedLava@4cf861e2, texId: 138, index: 18
TextureFX registered: thaumcraft.client.fx.FXAnimatedInfusedOre@13ceff77, texId: 138, index: 22
TextureFX registered: ModTextureAnimation@af9f59f, texId: 238, index: 194
TextureFX registered: ModTextureAnimation@71834343, texId: 238, index: 210
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 0, texId: 197, index: 0
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 1, texId: 197, index: 1
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 2, texId: 197, index: 2
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 3, texId: 197, index: 3
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 4, texId: 197, index: 4
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 5, texId: 197, index: 5
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 6, texId: 197, index: 6
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 7, texId: 197, index: 7
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 8, texId: 197, index: 8
TextureFX registered: railcraft.client.textureFX.TextureCreosoteOilFX@40795c5a, texId: 461, index: 0
TextureFX registered: thaumcraft.client.fx.FXAnimatedTexture@5e1298b5, texId: 139, index: 67
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 9, texId: 197, index: 9
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 10, texId: 197, index: 10
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 11, texId: 197, index: 11
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 12, texId: 197, index: 12
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 13, texId: 197, index: 13
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 14, texId: 197, index: 14
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 15, texId: 197, index: 15
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 16, texId: 197, index: 16
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 17, texId: 197, index: 17
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 18, texId: 197, index: 18
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 19, texId: 197, index: 19
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 20, texId: 197, index: 20
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 21, texId: 197, index: 21
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 22, texId: 197, index: 22
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 23, texId: 197, index: 23
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 24, texId: 197, index: 24
TextureFX registered: railcraft.client.textureFX.TextureSteamFX@734b0518, texId: 461, index: 16
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 25, texId: 197, index: 25
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 26, texId: 197, index: 26
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 27, texId: 197, index: 27
TextureFX registered: ModTextureAnimation@3f10c228, texId: 238, index: 242
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 28, texId: 197, index: 28
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 29, texId: 197, index: 29
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 30, texId: 197, index: 30
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 31, texId: 197, index: 31
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 32, texId: 197, index: 32
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 33, texId: 197, index: 33
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 34, texId: 197, index: 34
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 35, texId: 197, index: 35
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 36, texId: 197, index: 36
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 37, texId: 197, index: 37
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 38, texId: 197, index: 38
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 39, texId: 197, index: 39
TextureFX registered: ModTextureAnimation@1d2ec2e6, texId: 236, index: 0
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 40, texId: 197, index: 40
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 41, texId: 197, index: 41
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 42, texId: 197, index: 42
TextureFX registered: ModTextureAnimation@7835dd96, texId: 237, index: 2
TextureFX registered: com.eloraam.redpower.core.TextureAnimFX@20b49b3f, texId: 286, index: 239
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 43, texId: 197, index: 43
TextureFX registered: ModTextureAnimation@5dc49b4b, texId: 237, index: 3
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 44, texId: 197, index: 44
TextureFX registered: ModTextureAnimation@750311da, texId: 237, index: 4
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 45, texId: 197, index: 45
TextureFX registered: ModTextureAnimation@1c8baad9, texId: 237, index: 5
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 46, texId: 197, index: 46
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 47, texId: 197, index: 47
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 48, texId: 197, index: 48
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 49, texId: 197, index: 49
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 50, texId: 197, index: 50
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 51, texId: 197, index: 51
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 52, texId: 197, index: 52
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 53, texId: 197, index: 53
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 54, texId: 197, index: 54
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 55, texId: 197, index: 55
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 56, texId: 197, index: 56
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 57, texId: 197, index: 57
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 58, texId: 197, index: 58
TextureFX registered: com.eloraam.redpower.core.TextureAnimFX@50f8d30b, texId: 286, index: 255
